instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
e02.stp-B.red,0,0, Grafo.h, leArquivo, ,2006, 76.314000, ,,,Tempo de execução (ms), Melhor Solução,Solução Literatura,Instância
e02.stp-B.red,0,0, Guloso, guloso, ,1, 21.518000,776,,Guloso,"21,518",776,?,e02.stp-B.red
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,0, 35.314000,733,,Guloso Randomizado,"37690,558",550,?,e02.stp-B.red
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,1, 57.958000,733,,Guloso R R,,,,e02.stp-B.red
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,2, 77.176000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,3, 97.063000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,4, 113.641000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,5, 122.074000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,6, 139.175000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,7, 158.857000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,8, 182.911000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,9, 198.226000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,10, 223.589000,733,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,11, 233.816000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,12, 250.310000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,13, 265.297000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,14, 284.853000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,15, 298.096000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,16, 313.888000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,17, 335.434000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,18, 344.407000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,19, 356.708000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,20, 376.850000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,21, 401.198000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,22, 413.155000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,23, 437.445000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,24, 456.676000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,25, 475.021000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,26, 497.465000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,27, 512.673000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,28, 527.553000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,29, 546.602000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,30, 561.223000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,31, 578.633000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,32, 594.979000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,33, 620.929000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,34, 633.008000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,35, 650.657000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,36, 665.056000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,37, 675.285000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,38, 699.099000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,39, 715.466000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,40, 735.013000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,41, 747.807000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,42, 761.220000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,43, 782.401000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,44, 810.267000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,45, 823.265000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,46, 834.773000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,47, 855.794000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,48, 873.840000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,49, 892.992000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,50, 902.057000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,51, 919.057000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,52, 931.286000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,53, 941.876000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,54, 951.101000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,55, 961.758000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,56, 974.381000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,57, 991.911000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,58, 1013.101000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,59, 1032.272000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,60, 1056.379000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,61, 1069.423000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,62, 1085.757000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,63, 1106.086000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,64, 1117.162000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,65, 1137.613000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,66, 1152.323000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,67, 1167.374000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,68, 1186.564000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,69, 1207.328000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,70, 1226.101000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,71, 1246.034000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,72, 1260.184000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,73, 1280.256000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,74, 1305.433000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,75, 1314.963000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,76, 1335.019000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,77, 1349.310000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,78, 1368.143000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,79, 1376.422000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,80, 1385.604000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,81, 1400.058000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,82, 1417.537000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,83, 1425.855000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,84, 1443.573000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,85, 1468.943000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,86, 1483.220000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,87, 1503.154000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,88, 1519.133000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,89, 1535.273000,645,,,,,,
e02.stp-B.red,697,2614, Guloso, gulosoRandomizado, 0.250000,90, 1544.048000,645,,,,,,
