instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
e03.stp-A.red,0,0, Grafo.h, leArquivo, ,2229, 104.443000, ,,,Tempo de execução (ms), Melhor Solução,Solução Literatura,Instância
e03.stp-A.red,0,0, Guloso, guloso, ,1, 274.675000,2611,,Guloso,"3,518",310,?,e01.stp-B.red
e03.stp-A.red,0,0, Guloso, guloso, ,1, 278.112000,2611,,Guloso Randomizado,"5288,866",222,?,e01.stp-B.red
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,0, 567.404000,2546,,Guloso R R,,,,e01.stp-B.red
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,1, 862.886000,2515,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,2, 1253.767000,2515,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,3, 1505.918000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,4, 1873.106000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,5, 2335.070000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,6, 2655.213000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,7, 3028.417000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,8, 3335.360000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,9, 3665.706000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,10, 4042.519000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,11, 4299.371000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,12, 4636.711000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,13, 4980.722000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,14, 5358.929000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,15, 5785.650000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,16, 6239.242000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,17, 6621.574000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,18, 7047.827000,2504,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,19, 7430.812000,2460,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,20, 7781.101000,2460,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,21, 8187.794000,2460,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,22, 8545.685000,2460,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,23, 8825.290000,2460,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,24, 9188.192000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,25, 9637.285000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,26, 9974.970000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,27, 10311.001000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,28, 10604.697000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,29, 10885.467000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,30, 11218.466000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,31, 11545.608000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,32, 11965.136000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,33, 12293.377000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,34, 12595.276000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,35, 12932.444000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,36, 13221.626000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,37, 13534.543000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,38, 13931.060000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,39, 14378.683000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,40, 14622.064000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,41, 14877.985000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,42, 15198.107000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,43, 15479.954000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,44, 15775.564000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,45, 16070.598000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,46, 16350.538000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,47, 16600.991000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,48, 16856.500000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,49, 17197.952000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,50, 17493.194000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,51, 17815.437000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,52, 18203.461000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,53, 18542.756000,2425,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,54, 18893.329000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,55, 19202.197000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,56, 19502.879000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,57, 19756.134000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,58, 20052.521000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,59, 20377.930000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,60, 20691.848000,2390,,,,,,
e03.stp-A.red,813,2828, Guloso, gulosoRandomizado, 0.250000,61, 20995.089000,2390,,,,,,
