instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao
e03.stp-B.red, 120, 0, Grafo.h, leArquivo, , 2536, 144.126000, 
e03.stp-B.red, 0, 0, Guloso, guloso, , 1, 13322.321000, 11762
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 0, 25451.375000, 11817
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 1, 39558.818000, 11817
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 2, 52189.285000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 3, 64524.422000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 4, 78841.750000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 5, 93095.353000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 6, 106924.026000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 7, 119871.512000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 8, 134008.105000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 9, 148291.225000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 10, 161557.707000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 11, 173821.858000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 12, 188274.551000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 13, 202038.207000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 14, 215421.261000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 15, 227897.862000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 16, 241215.176000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 17, 254923.624000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 18, 268199.565000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 19, 283447.449000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 20, 299508.636000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 21, 317544.184000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 22, 331735.793000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 23, 344568.154000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 24, 357977.346000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 25, 371435.736000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 26, 385377.361000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 27, 399032.291000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 28, 415201.225000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 29, 428651.234000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 30, 442698.043000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 31, 460828.756000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 32, 475692.634000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 33, 489541.914000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 34, 504241.468000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 35, 520427.271000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 36, 536866.144000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 37, 552085.464000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 38, 571796.724000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 39, 587904.998000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 40, 603869.841000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 41, 619204.725000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 42, 635144.831000, 11288
e03.stp-B.red, 962, 3144, Guloso, gulosoRandomizado, 0.250000, 43, 650737.959000, 11288
