instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
K400.3.con.red,0,0, Grafo.h, leArquivo, ,1017, 20.499000, ,,,Tempo de execução (ms), Melhor Solução,Solução Literatura,Instância
K400.3.con.red,0,0, Guloso, guloso, ,1, 9.958000,705195,,Guloso,"9,958",705195,?,K400.3.con.red
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,0, 21.694000,705195,,Guloso Randomizado,"12320,269",611935,?,K400.3.con.red
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,1, 30.261000,705195,,Guloso R R,,,,K400.3.con.red
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,2, 41.081000,705195,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,3, 52.905000,705195,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,4, 60.481000,694347,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,5, 62.672000,680433,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,6, 71.754000,680433,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,7, 80.350000,651888,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,8, 87.082000,651888,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,9, 91.105000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,10, 97.868000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,11, 105.513000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,12, 110.859000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,13, 118.102000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,14, 131.063000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,15, 139.453000,650521,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,16, 142.689000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,17, 151.500000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,18, 159.215000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,19, 165.740000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,20, 169.242000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,21, 172.503000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,22, 176.992000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,23, 182.245000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,24, 191.276000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,25, 199.728000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,26, 207.153000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,27, 213.169000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,28, 218.769000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,29, 225.709000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,30, 229.795000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,31, 238.262000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,32, 245.457000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,33, 252.905000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,34, 261.259000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,35, 268.479000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,36, 272.866000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,37, 276.290000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,38, 281.257000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,39, 287.546000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,40, 294.781000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,41, 302.647000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,42, 307.669000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,43, 310.148000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,44, 318.911000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,45, 327.182000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,46, 343.319000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,47, 351.069000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,48, 361.477000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,49, 369.176000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,50, 376.208000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,51, 382.945000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,52, 387.924000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,53, 396.480000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,54, 402.413000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,55, 406.851000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,56, 415.177000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,57, 423.403000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,58, 430.833000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,59, 437.399000,611935,,,,,,
